user	spName	traffic	times
0b98ba27	meiliworks		10947032	548
0b98ba27	meitu		933	1
0b98ba27	meitudata		66647	4
0b98ba27	pubsage		238271	11
0b98ba27	punchbox		812532	169
0b98ba27	qpic		465940	14
0b98ba27	qq		1729478	151
0b98ba27	sina		3357205	160
0b98ba27	sinaimg		1442209	241
0b98ba27	taobao		111182	42
0b98ba27	tmall		8937	2
0b98ba27	umeng		21026	11
0b98ba27	verisign		22027	8
0bbae917	momternet		1266	1
0bbe4fca	apple		64224	3
0bbe4fca	verisign		2603	1
0bd6cf28	91		6579	3
0c321f69	qq		61064	15
0c32bec2	baidu		65642	12
0c32bec2	dianxinos		26739	18
0c32bec2	doubleclick		11543	2
0c32bec2	dxsvr		52047	42
0c32bec2	google-analytics		14795	5
0c32bec2	googlesyndication		13753	6
0c32bec2	gtimg		16766	3
0c32bec2	jccjd		3197	2
0c32bec2	moji001		12983	4
0c32bec2	myapp		7886	1
0c32bec2	qiushibaike		168288	38
0c32bec2	qlogo		9837	1
0c32bec2	qpic		142032	3
0c32bec2	qq		944006	78
0c32bec2	sohu		68995	32
0c3f7a45	apple		53285	1
0c800e10	animoca		894	1
0c800e10	apple		10898	2
0c800e10	flurry		9031	5
0c800e10	gtimg		13822	1
0c800e10	mopub		2154	3
0c800e10	qlogo		87706	5
0c800e10	qpic		6504	1
0c800e10	qq		270203	31
0c800e10	w3i		7946	2
0c800e10	wali		5855	1
0c800e10	yahooapis		3918	1
0ca0f845	baidu		331591	18
0ca0f845	baidu-2img		180969	17
0ca0f845	gtimg		41408	4
0ca0f845	qpic		5185	1
0ca0f845	qq		779536	64
0ca0f845	sonyericsson		1211	1
0ca0f845	xs		1184858	76
0ca0f845	ykimg		22054	5
0ca0f845	youku		19248	10
0cc91337	91		58336	10
0cc91337	cmread		653015	8
0cc91337	fsnewsky		1925	1
0cc91337	google		1288	1
0cc91337	kakaotalk		76019	5
0cc91337	madserving		0	2
0cc91337	mobeehome		0	2
0cc91337	qpic		54194	3
0cc91337	qq		32095	22
0cc91337	sina		13355	2
0cc91337	sinaimg		116363	1
0cc91337	taobao		8735	1
0cc91337	tbcdn		4091	2
0cc91337	tuan800		1083188	50
0cc91337	tuanimg		36438	1
0cc91337	uc		26190	1
0cc91337	ucweb		633328	16
0ccb21af	91		13686	12
0ccb21af	apple		8447	1
0ccb21af	ifeng		2488	1
0ccb21af	qpic		24112	5
0ccb21af	qq		346132	45
0ccb21af	sohu		4939	1
0ccb21af	uc		6356	3
0ccb21af	ucweb		143981	14
0ccb21af	yahooapis		68579	30
0cf7637e	admob		331606	12
0cf7637e	apple		11442	4
0cf7637e	doubleclick		45181	6
0cf7637e	google		28602	11
0cf7637e	google-analytics		29577	3
0cf7637e	gstatic		30200	1
0cf7637e	simsimi		98518	23
0cf7637e	sina		1549524	129
0cf7637e	sinaimg		96670	18
0cf7637e	yahooapis		8066	2
0d4d66e6	apple		3587	1
0d4d66e6	monternet		1348	1
0d4d66e6	qlogo		6853	1
0d4d66e6	qpic		66561	4
0d4d66e6	qq		1702952	146
0d5c4527	edgesuite		832312	1
0d5c4527	itunes		1426	1
0d5c4527	moji001		21637	10
0d5c4527	moji002		8026	4
0d5c4527	qpic		57501	9
0d5c4527	qq		10366	5
0d93fc50	3g		1359980	103
0d93fc50	edgesuite		1857910	3
0d93fc50	itunes		4090	3
0d93fc50	ucweb		3543	2
0dcf4df5	baidu		62268	16
0dcf4df5	monternet		1149	1
0dcf4df5	taobao		1194	1
0dcf4df5	uc		6892	2
0dcf4df5	ucweb		120610	3
0dcf4df5	wo		1349	1
0e0c1efb	apple		30143	5
0e0c1efb	qlogo		43885	4
0e0c1efb	qq		263998	9
0e0c1efb	sina		318469	40
0e0c1efb	sinaimg		74812	10
0e74300d	google		3359881	87
0e74300d	monternet		3928	3
0e74300d	sina		7659386	382
0e74300d	sinaimg		198607	39
0e768d7e	qpic		21442	2
0e768d7e	qq		18419	3
0ec7261f	2fishes		136873	12
0ec7261f	admob		54849	41
0ec7261f	apple		14148	3
0ec7261f	doubleclick		91404	18
0ec7261f	edgesuite		63667	1
0ec7261f	flurry		5841	3
0ec7261f	google-analytics		37616	2
0ec7261f	happyelements		7796	4
0ec7261f	ijinshan		29476	19
0ec7261f	itunes		1332	1
0ec7261f	qlogo		8792	1
0ec7261f	qpic		5708	1
0ec7261f	qq		109103	23
0ec7261f	snssdk		11417	4
0ec7261f	umeng		1656	1
0ec7261f	verisign		4284	1
0f5b9401	10086		59048	6
0f5b9401	appads		18289	12
0f5b9401	apple		18080	3
0f5b9401	cloudfront		93194	6
0f5b9401	edgecastcdn		1087	1
0f5b9401	edgesuite		65371	1
0f5b9401	flurry		143048	18
0f5b9401	fruitninja		675285	22
0f5b9401	google-analytics		30128	2
0f5b9401	itunes		1332	1
0f5b9401	monternet		5204	4
0f5b9401	qq		28257	5
0f5b9401	xn--vnxs5qt6s		2706	1
0f5b9401	zeptolab		26768	33
0f748004	apple		13250	2
0f748004	google		470793	5
0f748004	verisign		5206	2
0f748004	wochacha		44835	4
0fc512a4	360		1137	1
0fc512a4	apple		3587	1
0fc512a4	monternet		3890	3
0fc512a4	sina		2707	1
0fc512a4	yahooapis		356942	158
0fd3a727	apple		25444	4
0fd3a727	cloudfront		1276712	5
0fd3a727	flurry		7952	11
0fd3a727	godaddy		2962	1
0fd3a727	herewetest		25018	13
0fd3a727	monternet		5180	4
0fd3a727	qlogo		4857	1
0fd3a727	qq		22963	4
0fd3a727	sina		77864	14
0fd3a727	sinaimg		56025	5
0fd3a727	sogou		3545	1
0fd3a727	worldweatheronline		18575	3
0fd3a727	yahooapis		155095	39
1087e212	91		57524	1
1087e212	91rb		107539	2
1087e212	accuweather		209789	40
1087e212	admarvel		2581	1
1087e212	amazonaws		1084	2
1087e212	apple		173729	84
1087e212	cloudfront		29758	2
1087e212	flurry		2918	3
1087e212	localytics		0	3
1087e212	playhaven		7764	5
1087e212	qlogo		62659	5
1087e212	qq		22064	4
10a69877	13580		169098	45
10a69877	admob		23552	2
10a69877	apple		55307	2
10a69877	doubleclick		87483	4
10a69877	meitu		3714	3
10a69877	meitudata		61323	4
10a69877	qlogo		133343	22
10a69877	qpic		1001644	59
10a69877	qq		1658057	92
10a69877	tinyimail		1557	1
10a69877	umeng		1584	1
10a69877	yahooapis		219917	107
10b6c78e	qq		13387	5
10daa80f	edgesuite		63392	1
10daa80f	itunes		1337	1
10daa80f	qlogo		10698	1
10daa80f	qq		11394	8
11001a9c	apple		6888	2
11001a9c	qlogo		3177	1
11001a9c	qq		579669	19
117ce0a1	apple		3388	1
117ce0a1	meitu		933	1
117ce0a1	meitudata		72747	4
117ce0a1	qpic		45550	2
117ce0a1	qq		1080305	123
117ce0a1	sina		3087828	320
117ce0a1	sinaimg		597653	55
117ce0a1	umeng		3233	2
117ce0a1	yytcdn		26471	1
118ce339	baidu		19398	2
11b09c75	qq		4702	3
1329337e	monternet		1310	1
1329337e	qq		63419	8
133a80b2	gtimg		12871	2
133a80b2	qlogo		368789	56
133a80b2	qpic		28933	4
133a80b2	qq		218720	36
133a80b2	uc		33672	3
133a80b2	ucweb		3102524	63
133a80b2	ykimg		292109	44
133a80b2	youku		91012	6
138d6942	apple		10249	4
138d6942	baidu		280057	27
138d6942	gstatic		14321	1
138d6942	iask		16171	1
138d6942	monternet		3840	3
138d6942	qq		24383	8
138d6942	scorecardresearch		2850	1
138d6942	sina		56977	9
138d6942	sinaimg		62753	10
138d6942	soso		8279	2
138d6942	tbcdn		17698	2
138d6942	tudou		10961	6
138d6942	tudouui		65448	3
13985e2f	91		16660	8
13985e2f	apple		89336	17
13985e2f	localytics		7440	4
13985e2f	qq		3933	3
13985e2f	umeng		1686	1
13985e2f	yahooapis		243840	114
13b1b3cb	apple		71504	17
13b1b3cb	baidu		363267	57
13b1b3cb	baidu-2img		40196	16
13b1b3cb	baidu-3img		8110	2
13b1b3cb	baidu-img		12370	2
13b1b3cb	duowan		78843	2
13b1b3cb	edgesuite		62977	1
13b1b3cb	google		276287	6
13b1b3cb	hiido		1256	1
13b1b3cb	huanqiu		7053	1
13b1b3cb	immomo		5014806	221
13b1b3cb	itunes		1332	1
13b1b3cb	mogujie		6900	4
13b1b3cb	qidian		14066	11
13b1b3cb	qlogo		234115	24
13b1b3cb	qpic		554822	26
13b1b3cb	qq		312248	44
13b1b3cb	sina		2388333	152
13b1b3cb	sinaimg		42545	6
13b1b3cb	uc		2356	1
13b1b3cb	ucweb		159629	12
13b1b3cb	umeng		1712	1
13b1b3cb	yahoo		11348	1
13b1b3cb	yahooapis		8743	2
13b1b3cb	yimg		58103	4
13b1b3cb	yy		6791	5
13e277bc	adsmogo		17647	17
13e277bc	apple		162105	4
13e277bc	chuanyue		7607	2
13e277bc	domob		77019	11
13e277bc	emoney		63083	20
13e277bc	flurry		3075	2
13e277bc	google		5092	3
13e277bc	laichuan		12184	1
13e277bc	monternet		2636	4
13e277bc	qlogo		2547832	146
13e277bc	qpic		517516	30
13e277bc	umeng		3059	3
13e277bc	wali		4707	1
13e277bc	youmi		10862	7
142be673	baidu		42575	8
142be673	eastmoney		22230	8
142be673	itc		834148	88
142be673	kuaibo		1114	1
142be673	qq		2958	1
142be673	sohu		291843	36
142be673	sonyericsson		4111	2
142be673	umeng		7981	3
1458ede3	flurry		12722	8
1458ede3	pomoho		22740	5
1458ede3	qlogo		6118	1
1458ede3	qpic		18765	4
1458ede3	qq		961085	80
1458ede3	sogou		5671	4
1458ede3	sohu		7520	1
1458ede3	wali		5926	4
14d39688	baidu		760988	79
14d39688	box-z		131280	15
14d39688	china-pub		418455	13
14d39688	ddimg		1294	1
14d39688	flurry		5879	4
14d39688	gamevil		2684	2
14d39688	google-analytics		2462	1
14d39688	gtimg		17241	3
14d39688	linezing		2829	1
14d39688	monternet		1348	1
14d39688	qpic		68167	14
14d39688	qq		3064194	562
14d39688	rm-fm		98001	4
14d39688	soso		20371	2
14e9cde9	apple		78130	11
14e9cde9	qlogo		13119	1
14e9cde9	qq		4099	3
14e9cde9	sina		960876	148
14e9cde9	sinaimg		249556	40
15a774fe	360		1157	1
15a774fe	adsmogo		2686	2
15a774fe	domob		15173	2
15a774fe	moji001		22373	14
15a774fe	umeng		2036	1
1727cd73	:ocalhost		2144	1
1727cd73	admob		27408	3
1727cd73	adwhirl		4656	3
1727cd73	apple		34141	5
1727cd73	doubleclick		24504	5
1727cd73	flurry		27328	4
1727cd73	google-analytics		15353	7
1727cd73	gtimg		27521	4
1727cd73	immomo		7061	2
1727cd73	qiushibaike		183525	47
1727cd73	qlogo		51469	6
1727cd73	qq		326367	43
1727cd73	sina		124960	17
1727cd73	sinaimg		35918	1
1727cd73	umeng		5472	3
1791ea1a	360buy		559110	68
1791ea1a	360buyimg		1542474	97
1791ea1a	3g		0	1
1791ea1a	777wyx		5215	2
1791ea1a	8hcp		0	4
1791ea1a	aitmp3		0	1
1791ea1a	aoobook		0	1
1791ea1a	apple		39627	36
1791ea1a	baidu		581354	107
